file,Arrow.hs,Bits.hs,Current.hs,Data.hs,Exception.hs,Foldable.hs,IO.hs,Natural.hs,OldList.hs,Show.hs,core_print.clj,core_proxy.clj,debug.rb,erb.rb,glass.clj,gvec.clj,instant.clj,irb.rb,logger.rb,main.clj,open-uri.rb,open3.rb,repl.clj,rubygems.rb,scanf.rb,set.rb,string.clj,test.clj,time.rb,zip.clj
Arrow.hs,0.018822100789313904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bits.hs,0.9227333631085306,0.018758374274229567,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current.hs,0.909967845659164,0.9093345243412237,0.01822079314040729,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data.hs,0.9578682030968672,0.9575081022686353,0.9634497659344616,0.011343176089305006,,,,,,,,,,,,,,,,,,,,,,,,,,
Exception.hs,0.9052823315118397,0.9334524341223761,0.890139335476956,0.96975153042852,0.022566995768688293,,,,,,,,,,,,,,,,,,,,,,,,,
Foldable.hs,0.8910755148741418,0.8959356855739169,0.9075514874141877,0.943284119553475,0.9299771167048055,0.018764302059496567,,,,,,,,,,,,,,,,,,,,,,,,
IO.hs,0.9040680024286581,0.925413130861992,0.8579849946409432,0.9636298163485776,0.83345507669832,0.9189931350114416,0.019722425127830533,,,,,,,,,,,,,,,,,,,,,,,
Natural.hs,0.9526904081102158,0.8908240187158825,0.9448921237327788,0.9353619013323731,0.96412789186379,0.9376137249805043,0.9433324668572914,0.015076683129711464,,,,,,,,,,,,,,,,,,,,,,
OldList.hs,0.9516493447808405,0.9417080885675554,0.9516493447808405,0.9380626575441123,0.9674649796656123,0.9243108901943063,0.9548124717577948,0.9344780840488025,0.012426570266606417,,,,,,,,,,,,,,,,,,,,,
Show.hs,0.937546468401487,0.8962825278810409,0.9226765799256506,0.9504861361181131,0.9475836431226766,0.9211895910780669,0.9223048327137546,0.9157785287236808,0.9335743334839585,0.017472118959107805,,,,,,,,,,,,,,,,,,,,
core_print.clj,0.9630519675578252,0.9585461099429258,0.9564433763893061,0.965970471732085,0.9720636827876239,0.9528386902973865,0.9606488434965456,0.9573693787366779,0.9611387257117036,0.9591468909582457,0.015019525382997898,,,,,,,,,,,,,,,,,,,
core_proxy.clj,0.9705751226036559,0.9681230494872938,0.9632189032545698,0.9627295642779978,0.975925100312082,0.9634418189924209,0.9674543022737405,0.9607668301382077,0.956531431119037,0.9667855550601873,0.9161836825679893,0.0115916183682568,,,,,,,,,,,,,,,,,,
debug.rb,0.9748452012383901,0.9734907120743034,0.9696207430340558,0.9629096146921138,0.9800696594427245,0.9702012383900929,0.9731037151702786,0.965750773993808,0.9640092879256966,0.9700077399380805,0.9614938080495357,0.9595588235294118,0.010835913312693499,,,,,,,,,,,,,,,,,
erb.rb,0.9605171208944794,0.9528301886792453,0.953529000698812,0.9702916816708679,0.9682040531097135,0.9542278127183788,0.9570230607966457,0.9599688068624902,0.964979665612291,0.9517819706498952,0.9453289276058876,0.9560855996433348,0.9371130030959752,0.015723270440251572,,,,,,,,,,,,,,,,
glass.clj,0.9816234987700767,0.9781507741282014,0.9752568369266387,0.9677326002025756,0.9835045579510925,0.9752568369266387,0.9781507741282014,0.9722182028649978,0.9693242656634351,0.9762697149471856,0.9442917088699175,0.7967009115902185,0.9641151787006222,0.9714947185646071,0.00824772102445377,,,,,,,,,,,,,,,
gvec.clj,0.968678959333165,0.9638797676180854,0.9623642333922707,0.9674108750450126,0.974993685274059,0.9628694114675423,0.968678959333165,0.9568072745642839,0.9615906009941256,0.966405657994443,0.9067946451124022,0.9132857779759251,0.9628482972136223,0.9595857539782774,0.940529590507886,0.01262945188178833,,,,,,,,,,,,,,
instant.clj,0.9570100697134004,0.9492641363284275,0.9457784663051898,0.9688512783579403,0.9643687064291248,0.9465530596436871,0.9527498063516654,0.9597088640499091,0.9631721644826028,0.9494423791821561,0.920997296485431,0.9393669193045029,0.9626547987616099,0.9433962264150944,0.9539863984951527,0.9411467542308664,0.016266460108443067,,,,,,,,,,,,,
irb.rb,0.9515996718621821,0.9479081214109926,0.9392945036915504,0.9719121353979114,0.9581624282198523,0.9450369155045119,0.9466776045939295,0.9586690927995841,0.9645277903298689,0.9460966542750929,0.9477320516671673,0.9596522514489523,0.9315015479876161,0.9042627533193571,0.9696136593835913,0.9570598636019196,0.941130906274206,0.015176374077112387,,,,,,,,,,,,
logger.rb,0.9551624845742492,0.9448786507610037,0.9448786507610037,0.9713719841555636,0.9638009049773756,0.9489921842863019,0.9498148909913616,0.9607486353002339,0.9665612291007681,0.9513011152416357,0.949834785220787,0.9632189032545698,0.9438854489164087,0.9095038434661076,0.972362899725076,0.9557969184137408,0.9388071262587142,0.8859721082854799,0.016454134101192924,,,,,,,,,,,
main.clj,0.9703770197486535,0.9676840215439856,0.9627468581687613,0.9638098667626935,0.9757630161579892,0.9649910233393177,0.9656642728904847,0.9598294434470377,0.9560143626570916,0.9679084380610413,0.9095601436265709,0.9077128845296478,0.944078947368421,0.9555655296229802,0.9276515699609319,0.9281867145421903,0.928411131059246,0.9517504488330341,0.9566876122082585,0.01144524236983842,,,,,,,,,,
open-uri.rb,0.9711746336776363,0.9668508287292817,0.9649291376411242,0.9675909254591285,0.9764592841700697,0.9646889262551045,0.9678116742733606,0.9630074465529667,0.9595571622232264,0.963487869325006,0.9512370886380015,0.9489522960320999,0.9384674922600619,0.9130434782608695,0.9612212414990595,0.9536392024981984,0.9543598366562575,0.9255344703338938,0.9233725678597166,0.9477109515260324,0.01177035791496517,,,,,,,,,
open3.rb,0.9435336976320583,0.9575703439035284,0.9437299035369775,0.9785740007202016,0.935771632471008,0.9560640732265446,0.9327976625273923,0.9711463478034832,0.9717577948486218,0.9628252788104089,0.9609492340042055,0.9703522068658047,0.9649767801857585,0.9311670160726765,0.9790189552886702,0.9674160141449861,0.9558481797056545,0.9224774405250205,0.9259563965446318,0.9701526032315978,0.9392265193370166,0.025869759143621766,,,,,,,,
repl.clj,0.9652079369393857,0.9605871160641478,0.9548790432182659,0.9665106229744328,0.9687415058439793,0.9562381081815711,0.9578689861375373,0.953990122173122,0.9591052869408043,0.9584126121228594,0.8964392497961402,0.9041462327240303,0.9496904024767802,0.9475400924164175,0.9306902040225727,0.9186663298812832,0.9105735254145149,0.944550149497146,0.950258222343028,0.8045332136445242,0.9461926495315878,0.9662951889100299,0.011959771677086164,,,,,,,
rubygems.rb,0.9742201039861352,0.9690207972270364,0.9675043327556326,0.9670507742167807,0.9779029462738301,0.9696707105719238,0.9716204506065858,0.9651213171577123,0.9623050259965338,0.9694540727902946,0.9610051993067591,0.9542894280762565,0.9328560371517027,0.9352253032928943,0.9678772970626537,0.9616551126516465,0.96078856152513,0.9330589254766031,0.9319757365684576,0.9510398613518197,0.917894280762565,0.9547227036395147,0.9484402079722704,0.010831889081455806,,,,,,
scanf.rb,0.9548467274233637,0.9502899751449876,0.9469759734879868,0.9715520345696795,0.9660314830157415,0.9494614747307374,0.9523612261806131,0.9633480634260463,0.9656574785359241,0.9472118959107807,0.9513367377590868,0.9605439144003567,0.9494969040247678,0.9088050314465409,0.9704818405440602,0.9600909320535489,0.9415182029434547,0.8962264150943396,0.9095022624434389,0.9600538599640933,0.9296180638962287,0.9229494614747308,0.9478119054090786,0.9425909878682842,0.015741507870753936,,,,,
set.rb,0.9467592592592593,0.9464046449307727,0.9439814814814815,0.973352538710839,0.9611111111111111,0.9427917620137299,0.9486111111111111,0.9633480634260463,0.9661093538183462,0.9550185873605948,0.9495343947131271,0.9621043245653144,0.9485294117647058,0.9056603773584906,0.9712053248444509,0.9570598636019196,0.9438419829589465,0.8962264150943396,0.9049773755656109,0.9575852782764811,0.9231323564736968,0.899537037037037,0.9461810274531123,0.9356585788561526,0.9109362054681027,0.018055555555555554,,,,
string.clj,0.9548022598870056,0.9530367231638418,0.9491525423728814,0.9679510262873605,0.961864406779661,0.9438559322033898,0.9533898305084746,0.9571094359240967,0.9579755987347492,0.9498587570621468,0.906878942625413,0.9244315648684797,0.9593653250773994,0.9406009783368274,0.9413977716683548,0.9216973983329123,0.8926553672316384,0.9410310734463276,0.9424435028248588,0.9032764811490126,0.9497958203218833,0.9540960451977402,0.8929056808915466,0.9579722703639515,0.9399717514124294,0.9399717514124294,0.014477401129943503,,,
test.clj,0.9820530251529572,0.9789259007477906,0.9766145479265805,0.9725356900067981,0.985588035350102,0.9777022433718559,0.9791978246091094,0.9749830047586676,0.971855880353501,0.9781101291638341,0.9439836845683208,0.933242692046227,0.9617946974847043,0.9736233854520734,0.9219578518014956,0.9528212100611829,0.9543167912984364,0.9707681849082257,0.9715839564921822,0.9171991842284161,0.9642420122365738,0.9827328348062543,0.9150237933378654,0.9639700883752549,0.9764785859959212,0.9723997280761387,0.9336505778382053,0.007613868116927261,,
time.rb,0.9575363427697016,0.9510328997704667,0.9560061208875287,0.9702916816708679,0.9709257842387146,0.9517980107115531,0.9590665646518746,0.9620483493631401,0.9690465431540894,0.9505576208178439,0.9579453289276059,0.9681230494872938,0.9566563467492261,0.9245283018867925,0.9778613804080452,0.9628694114675423,0.9376434583014537,0.9246365723029839,0.913159908186687,0.9663375224416517,0.9317799663704059,0.936495791889824,0.9559662951889101,0.9490901213171578,0.91469013006886,0.9188982402448355,0.9495056497175142,0.9753908905506459,0.017214996174445295,
zip.clj,0.9456869009584664,0.9562304600267977,0.9475125513464172,0.973352538710839,0.9648562300319489,0.9443176631675034,0.9502510269283432,0.9669872628021835,0.9683687302304564,0.9602230483271376,0.9351156503454491,0.9409273294694606,0.9711687306501547,0.9549266247379455,0.958616698017653,0.9391260419297802,0.9268009295120062,0.9425758818703855,0.9452900041135335,0.9317773788150808,0.9632476579389863,0.9507074395253309,0.9200869801576516,0.9655545927209706,0.9461474730737366,0.937927886809676,0.907132768361582,0.9605710401087696,0.9575363427697016,0.01734367868553172
